pipeline,agent,accuracy,accuracy_ci,f1_score,f1_score_ci,total_input_tokens,total_output_tokens,avg_latency
homogeneous_deepseek-v4-flash,agent1_classification,0.998,0.995 - 1.000,0.9980657640232108,0.995 - 1.000,1000318,40234,2.824254489183426
homogeneous_deepseek-v4-flash,agent2_ner,0.9651162790697676,0.948 - 0.981,0.874031007751938,0.843 - 0.901,1195626,191919,24.55990087893582
homogeneous_deepseek-v4-flash,agent3_1_people_extractor,0.5251937984496124,0.483 - 0.570,0.7416020671834624,0.707 - 0.775,658647,92549,8.945297776728637
homogeneous_deepseek-v4-flash,agent3_2_pediatric_triage,0.6440217391304348,0.595 - 0.693,0.6542194769773785,0.607 - 0.701,394378,64659,8.99570924108443
homogeneous_deepseek-v4-flash,agent3_3_adult_triage,0.6753381893860562,0.643 - 0.703,0.6793596919278543,0.647 - 0.708,1047553,173385,9.639401340583856
homogeneous_typhoon-v2.5,agent1_classification,0.999,0.997 - 1.000,0.9990338164251208,0.997 - 1.000,988339,28517,0.4513052661418915
homogeneous_typhoon-v2.5,agent2_ner,0.9458413926499032,0.925 - 0.967,0.8704061895551257,0.839 - 0.899,1178768,212288,3.905735080431232
homogeneous_typhoon-v2.5,agent3_1_people_extractor,0.6228239845261122,0.582 - 0.665,0.703739522888459,0.671 - 0.736,666421,94074,1.8144678506906533
homogeneous_typhoon-v2.5,agent3_2_pediatric_triage,0.6666666666666666,0.615 - 0.718,0.670538857431035,0.621 - 0.723,358352,124726,3.3277630439171424
homogeneous_typhoon-v2.5,agent3_3_adult_triage,0.6422121896162528,0.609 - 0.676,0.6480405137789312,0.617 - 0.681,924448,325899,3.4198879267238333
homogeneous_gemma-4,agent1_classification,0.999,0.997 - 1.000,0.9990338164251208,0.997 - 1.000,759926,17066,1.4358621380329133
homogeneous_gemma-4,agent2_ner,0.988394584139265,0.979 - 0.996,0.8839458413926499,0.855 - 0.911,1080851,145794,6.290591494027144
homogeneous_gemma-4,agent3_1_people_extractor,0.7485493230174082,0.710 - 0.785,0.8127014829142489,0.783 - 0.843,548205,78290,4.003250232748183
homogeneous_gemma-4,agent3_2_pediatric_triage,0.729050279329609,0.682 - 0.774,0.7327277893236465,0.686 - 0.775,298125,58874,3.8234699465043054
homogeneous_gemma-4,agent3_3_adult_triage,0.7223557692307693,0.692 - 0.754,0.7263524612436195,0.697 - 0.757,710388,127302,3.659392106418426
