model,temperature,text_informativeness_f1_exp1th,text_category_f1_exp1th,avg_latency_seconds_exp1th,total_tokens_used_exp1th,text_informativeness_f1_exp2th,text_category_f1_exp2th,avg_latency_seconds_exp2th,total_tokens_used_exp2th
deepseek-v4-flash,0.0,0.9129640900791236,0.7522363541825542,1.0260799290382698,1910716,0.9067949488875526,0.7282522109325544,1.2398089305761975,2168228
deepseek-v4-flash,0.1,0.9121951219512195,0.7479829892231958,1.2490004086447788,1910417,0.907563025210084,0.728277463050796,1.2493545649802849,2168220
deepseek-v4-flash,0.2,0.912751677852349,0.7482784368911507,1.4700851930330878,1910614,0.9067949488875526,0.7258816144513838,1.1818440518033948,2167944
deepseek-v4-flash,0.3,0.9123020706455542,0.7491683657117693,1.465010438646589,1910346,0.9038461538461539,0.719733828169981,1.744866130170057,2168183
typhoon-v2.5,0.0,0.8967136150234741,0.6859638269600556,0.4396120463798657,1955056,0.9024970273483948,0.6951831512279951,0.5586271209026269,2198354
typhoon-v2.5,0.1,0.8976470588235295,0.6869553165078567,0.4504266475744676,1955054,0.9055258467023173,0.7014442949983062,0.5603540489584966,2198363
typhoon-v2.5,0.2,0.8967136150234741,0.6860359345319043,0.4490979725600689,1955058,0.9019607843137255,0.6902794253081207,0.5085412473827892,2198355
typhoon-v2.5,0.3,0.8965922444183314,0.6829509877609239,0.4293581650914977,1955041,0.9023809523809524,0.6947144281528685,0.49463219442012957,2198351
gemma-4,0.0,0.9101123595505618,0.7541917262494318,0.990352618717634,1569230,0.90253987005316,0.7143462630322882,0.8923346025836444,1810891
gemma-4,0.1,0.9111389236545682,0.7556998784883858,0.8387458175129153,1569274,0.90253987005316,0.7136730522972156,0.9949666012056653,1810890
gemma-4,0.2,0.9104571070757672,0.7547779599990136,0.7011127968823606,1569262,0.90253987005316,0.7161841063456692,0.8808842211553495,1810891
gemma-4,0.3,0.9098873591989988,0.7518609221996057,0.7025648616764644,1569287,0.90253987005316,0.7160543036054866,1.2138068596677538,1811034
